Project name,Country,Site,Latitude,Longitude,Exposure,Quadrat size,Reef type,Reef zone,Date,Start time,Tide,Visibility,Current,Depth,Management name,Management secondary name,Management year established,Management size,Governance,Estimated compliance,Management rules,Observer,Quadrat collection label,Site notes,Sampling event notes,Management notes,Benthic attribute,Growth form,Normal count,Pale count,0-20% bleached count,20-50% bleached count,50-80% bleached count,80-100% bleached count,Recently dead count,Observation notes
Fiji Bleaching 2019,Fiji,BU03,-17.734,178.75900000000001,very sheltered,1.50,fringing,back reef,2019-05-28,03:45:00,,<1m - bad,,3.0,Open,,,,,,Open Access,Emily Darling,,,,,Porites,Branching,32,10,0,0,0,0,0,
Fiji Bleaching 2019,Fiji,BU03,-17.734,178.75900000000001,very sheltered,1.50,fringing,back reef,2019-05-28,03:45:00,,<1m - bad,,3.0,Open,,,,,,Open Access,Emily Darling,,,,,Leptastrea,,6,1,0,0,0,0,0,
Fiji Bleaching 2019,Fiji,BU03,-17.734,178.75900000000001,very sheltered,1.50,fringing,back reef,2019-05-28,03:45:00,,<1m - bad,,3.0,Open,,,,,,Open Access,Emily Darling,,,,,Goniastrea,,2,0,0,0,0,0,0,
Fiji Bleaching 2019,Fiji,BU03,-17.734,178.75900000000001,very sheltered,1.50,fringing,back reef,2019-05-28,03:45:00,,<1m - bad,,3.0,Open,,,,,,Open Access,Emily Darling,,,,,Pavona,,6,0,1,0,0,0,0,
Fiji Bleaching 2019,Fiji,BU03,-17.734,178.75900000000001,very sheltered,1.50,fringing,back reef,2019-05-28,03:45:00,,<1m - bad,,3.0,Open,,,,,,Open Access,Emily Darling,,,,,Favites,,0,1,1,0,0,0,0,
Fiji Bleaching 2019,Fiji,BU03,-17.734,178.75900000000001,very sheltered,1.50,fringing,back reef,2019-05-28,03:45:00,,<1m - bad,,3.0,Open,,,,,,Open Access,Emily Darling,,,,,Pachyseris,,4,0,0,0,0,0,0,
Fiji Bleaching 2019,Fiji,BU03,-17.734,178.75900000000001,very sheltered,1.50,fringing,back reef,2019-05-28,03:45:00,,<1m - bad,,3.0,Open,,,,,,Open Access,Emily Darling,,,,,Millepora,,1,10,0,0,0,0,0,
Fiji Bleaching 2019,Fiji,BU03,-17.734,178.75900000000001,very sheltered,1.50,fringing,back reef,2019-05-28,03:45:00,,<1m - bad,,3.0,Open,,,,,,Open Access,Emily Darling,,,,,Halomitra,,1,0,0,0,0,0,0,
Fiji Bleaching 2019,Fiji,BU03,-17.734,178.75900000000001,very sheltered,1.50,fringing,back reef,2019-05-28,03:45:00,,<1m - bad,,3.0,Open,,,,,,Open Access,Emily Darling,,,,,Merulina,,10,0,1,0,0,0,0,
Fiji Bleaching 2019,Fiji,BU03,-17.734,178.75900000000001,very sheltered,1.50,fringing,back reef,2019-05-28,03:45:00,,<1m - bad,,3.0,Open,,,,,,Open Access,Emily Darling,,,,,Pocillopora,,0,0,0,0,0,0,1,
Fiji Bleaching 2019,Fiji,BU07,-17.742,178.765,very sheltered,1.50,fringing,back reef,2019-05-29,01:25:00,high,1-5m - poor,,1.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,27C water temp,,Montipora,,46,0,0,0,0,0,1,
Fiji Bleaching 2019,Fiji,BU07,-17.742,178.765,very sheltered,1.50,fringing,back reef,2019-05-29,01:25:00,high,1-5m - poor,,1.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,27C water temp,,Pavona,,11,1,1,0,0,0,0,
